Fecha y hora	Nombre de archivo	Error	Mensaje
2016-05-03 18:15:06.765 -0500	ImprimartNom	0	campos importados : 3
2016-05-03 18:15:06.766 -0500	Intelisis.fmp12	0	tablas importados : 1
2016-05-03 18:15:06.766 -0500	Intelisis.fmp12	0	Importación completada
2016-05-03 18:15:06.767 -0500	Intelisis.fmp12	0	Importación de operaciones consignada
2016-05-03 18:15:06.768 -0500	Intelisis.fmp12	0	==================================================================
2016-05-03 18:18:27.766 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
2016-05-03 18:18:27.770 -0500	Intelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-05-03 18:18:27.772 -0500	Intelisis.fmp12	0	Tabla
2016-05-03 18:18:27.773 -0500	ImprimartNom 2	0	campos importados : 3
2016-05-03 18:18:27.774 -0500	Intelisis.fmp12	0	tablas importados : 1
2016-05-03 18:18:27.774 -0500	Intelisis.fmp12	0	Importación completada
2016-05-03 18:18:27.775 -0500	Intelisis.fmp12	0	Importación de operaciones consignada
2016-05-03 18:18:27.776 -0500	Intelisis.fmp12	0	==================================================================
2016-05-05 12:27:54.890 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
2016-05-05 12:27:54.928 -0500	Intelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-05-05 12:27:54.934 -0500	ImprimartNom	0	campos importados : 4
2016-05-05 12:27:54.935 -0500	Intelisis.fmp12	0	tablas importados : 1
2016-05-05 12:27:54.936 -0500	Intelisis.fmp12	0	Importación completada
2016-05-05 12:27:54.938 -0500	Intelisis.fmp12	0	Importación de operaciones consignada
2016-05-05 12:27:54.939 -0500	Intelisis.fmp12	0	==================================================================
2016-05-05 12:46:43.651 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
2016-05-05 12:46:43.653 -0500	Intelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-05-05 12:46:43.654 -0500	Intelisis.fmp12	0	Tabla
2016-05-05 12:46:43.660 -0500	ImprimartNom 2	0	campos importados : 4
2016-05-05 12:46:43.661 -0500	Intelisis.fmp12	0	tablas importados : 1
2016-05-05 12:46:43.662 -0500	Intelisis.fmp12	0	Importación completada
2016-05-05 12:46:43.663 -0500	Intelisis.fmp12	0	Importación de operaciones consignada
2016-05-05 12:46:43.663 -0500	Intelisis.fmp12	0	==================================================================
